Time,Used
39998.614576,344585200
39998.614600,340700752
39998.614623,335927544
39998.614646,331255056
39998.614669,358393856
39998.614692,352393064
39998.614715,348923656
39998.614738,347148696
39998.614762,341988656
39998.614785,370127280
39998.614808,364246528
39998.614831,360138544
39998.614854,356131624
39998.614877,351690400
39998.614900,379993080
39998.614924,377984440
39998.614947,374895616
39998.614970,372085808
39998.614993,369748896
39998.615016,367998512
39998.615039,396917024
39998.615062,394130872
39998.615086,391586488
39998.615109,388728032
39998.615132,385603384
39998.615155,414852488
39998.615178,411331240
39998.615201,408552472
39998.615225,405449872
39998.615248,401626344
39998.615271,430088360
39998.615294,426036664
39998.615317,421269536
39998.615340,417932808
39998.615363,445501352
39998.615387,444120784
39998.615410,441609680
39998.615433,436411336
39998.615456,432129712
39998.615479,460158200
39998.615502,458124808
39998.615525,452674048
39998.615549,446749168
39998.615572,473341928
39998.615595,467989504
39998.615618,462552792
39998.615641,456653096
39998.615664,483446088
39998.615688,476092464
39998.615711,469684184
39998.615734,424991832
39998.615757,184959624
39998.615780,211905304
39998.615803,206237000
39998.615826,202349496
39998.615850,196308864
39998.615873,222681048
39998.615896,216989152
39998.615919,210342920
39998.615942,204144896
39998.615965,231807952
39998.615988,232068360
39998.616012,225867312
39998.616035,225361152
39998.616058,254340272
39998.616081,250186248
39998.616104,246654208
39998.616127,241700400
39998.616150,268577864
39998.616174,263581912
39998.616197,258772848
39998.616220,257561832
39998.616243,285329304
39998.616266,280375656
39998.616289,276940416
39998.616313,274152072
39998.616336,303588016
39998.616359,298832288
39998.616382,295394168
39998.616405,292071616
39998.616428,320837528
39998.616451,318073048
39998.616475,312778272
39998.616498,311544312
39998.616521,338035952
39998.616544,332035280
39998.616567,326757456
39998.616590,354293392
39998.616613,347936480
39998.616637,342362168
39998.616660,336448520
39998.616683,364481104
39998.616706,359324960
39998.616729,356085504
39998.616752,384314504
39998.616775,377909056
39998.616799,373038408
39998.616822,367852648
39998.616845,395334952
39998.616868,390103216
39998.616891,385837728
39998.616914,388240960
39998.616938,383018544
39998.616961,410869992
39998.616984,405958208
39998.617007,401626384
39998.617030,397042664
39998.617053,426506752
39998.617076,421535048
39998.617100,416485744
39998.617123,414435112
39998.617146,440718320
39998.617169,436306792
39998.617192,431452432
39998.617215,426839792
39998.617238,430119848
39998.617262,456637224
39998.617285,454214064
39998.617308,450318896
39998.617331,446715136
39998.617354,475993800
39998.617377,471558424
39998.617400,465492320
39998.617424,459467008
39998.617447,190907848
39998.617470,186166952
39998.617493,180743536
39998.617516,206510312
39998.617539,202849704
39998.617563,200027528
39998.617586,225382800
39998.617609,220500856
39998.617632,215905968
39998.617655,210451768
39998.617678,237231456
39998.617701,232788624
39998.617725,228151576
39998.617748,226333592
39998.617771,254050464
39998.617794,248981696
39998.617817,244952960
39998.617840,269143752
39998.617863,263299416
39998.617887,258893040
39998.617910,283942656
39998.617933,279790064
39998.617956,274530992
39998.617979,274544464
39998.618002,299486848
39998.618025,294730344
39998.618049,291319552
39998.618072,285821816
39998.618095,312512080
39998.618118,308312464
39998.618141,303675232
39998.618164,329334144
39998.618188,323023448
39998.618211,318146120
39998.618234,314311856
39998.618257,339524592
39998.618280,334914440
39998.618303,330791112
39998.618327,327893392
39998.618350,356010640
39998.618373,352743432
39998.618396,348858784
39998.618419,374831000
39998.618442,369886080
39998.618465,367425104
39998.618488,367415016
39998.618512,366152904
39998.618535,394481760
39998.618558,393145928
39998.618581,402210544
39998.618604,407685336
39998.618627,414890144
39998.618650,418670912
39998.618674,476374784
39998.618697,166145608
39998.618720,196964288
39998.618743,266184512
39998.618766,166331040
39998.618813,166895408
39998.618836,167095056
39998.618859,167294480
39998.618882,167493904
39998.618905,167693360
39998.618928,166230744
39998.618952,184618784
39998.618975,166903376
39998.618998,183262720
39998.619021,194193912
39998.619044,171293920
39998.619067,182084304
39998.619091,189219336
39998.619114,196151360
39998.619137,204325088
39998.619160,180630992
39998.619183,190714528
39998.619206,199346304
39998.619229,203184576
39998.619253,177808176
39998.619276,187913896
39998.619299,195649024
39998.619322,204234032
39998.619345,181567712
39998.619368,190277592
39998.619391,197484016
39998.619415,204894840
39998.619438,210971232
39998.619461,184555896
39998.619484,193282800
39998.619507,199961600
39998.619530,206598248
39998.619554,212247320
39998.619577,187671184
39998.619600,196373336
39998.619623,202416248
39998.619646,208143832
39998.619669,214288616
39998.619692,189143088
39998.619716,197387456
39998.619739,205643872
39998.619762,212085440
39998.619785,218979624
39998.619808,193787192
39998.619831,202636368
39998.619854,212530824
39998.619878,220819576
39998.619901,195150200
39998.619924,202633496
39998.619947,210121760
39998.619970,214893200
39998.619993,223139672
39998.620016,197649888
39998.620040,205866448
39998.620063,213353088
39998.620086,219703544
39998.620109,223568568
39998.620132,229805440
39998.620155,202291816
39998.620179,207841960
39998.620202,216316672
39998.620225,218866256
39998.620248,221778960
39998.620271,224790120
39998.620294,226356352
39998.620317,232086800
39998.620341,239634800
39998.620364,214216896
39998.620387,221456504
39998.620410,227659504
39998.620433,234265872
39998.620456,210267376
39998.620479,216745224
39998.620503,223590472
39998.620526,233270016
39998.620549,235681720
39998.620572,235715912
39998.620595,251519528
39998.620618,268163616
39998.620641,293477120
39998.620664,322752736
39998.620688,366804440
39998.620711,418154168
39998.620734,437668400
39998.620757,313482496
39998.620780,278616416
39998.620803,347774696
39998.620826,417210928
39998.620850,460679272
39998.620873,315071200
39998.620896,384491056
39998.620919,457339152
39998.620942,297803784
39998.620965,166166376
39998.621012,166720568
39998.621035,166928632
39998.621058,167127632
39998.621081,167333384
39998.621104,167544304
39998.621127,166146576
39998.621151,197923408
39998.621174,178328440
39998.621197,186241800
39998.621220,190194576
39998.621243,191473360
39998.621266,191603896
39998.621289,191111288
39998.621313,189712984
39998.621336,186315768
39998.621359,181424312
39998.621382,176080400
39998.621405,170818216
39998.621428,198306872
39998.621451,192404392
39998.621475,186145544
39998.621498,179667080
39998.621521,173084120
39998.621544,167008136
39998.621567,192603408
39998.621590,185573624
39998.621613,178937416
39998.621637,185966360
39998.621660,180270456
39998.621683,173201944
39998.621706,198347576
39998.621729,191072536
39998.621752,184005920
39998.621776,176517200
39998.621799,169574408
39998.621822,194596072
39998.621845,187317032
39998.621868,179932240
39998.621891,173077320
39998.621914,197954616
39998.621938,190321200
39998.621961,183079896
39998.621984,176024016
39998.622007,169783248
39998.622030,194895608
39998.622053,187653584
39998.622076,180038112
39998.622100,172719040
39998.622123,197944400
39998.622146,190456080
39998.622169,183048080
39998.622192,175420688
39998.622215,168238656
39998.622238,193766168
39998.622262,186469544
39998.622285,178930624
39998.622308,171679520
39998.622331,196859400
39998.622354,190257984
39998.622377,182796880
39998.622401,175262560
39998.622424,167587200
39998.622447,192595904
39998.622470,184898672
39998.622493,177414096
39998.622516,169729752
39998.622539,194566240
39998.622563,187224448
39998.622586,179664272
39998.622609,172021120
39998.622632,197030400
39998.622655,189259248
39998.622678,181691344
39998.622701,175491440
39998.622725,168120704
39998.622748,193131856
39998.622771,185696864
39998.622794,178132144
39998.622817,170594640
39998.622840,195620856
39998.622864,188143936
39998.622887,180511600
39998.622910,172948880
39998.622933,198627328
39998.622956,191126360
39998.622979,183662520
39998.623002,176091808
39998.623026,168204360
39998.623049,194352952
39998.623072,186997616
39998.623095,179001808
39998.623118,171190392
39998.623141,196053240
39998.623164,188725168
39998.623188,181098352
39998.623211,173158864
39998.623234,197902656
39998.623257,190478112
39998.623280,182912720
39998.623303,175280904
39998.623326,167569952
39998.623350,192006200
39998.623373,184414336
39998.623396,177989160
39998.623419,170391328
39998.623442,195195528
39998.623465,187582400
39998.623489,179922896
39998.623512,172669616
39998.623535,197475696
39998.623558,189668856
39998.623581,181915544
39998.623604,174324736
39998.623627,167228560
39998.623651,192162512
39998.623674,184009312
39998.623697,176466232
39998.623720,168993112
39998.623743,195364608
39998.623766,187834432
39998.623789,180150064
39998.623813,172589528
39998.623836,197503824
39998.623859,190102448
39998.623882,182321200
39998.623905,174423480
39998.623928,166940256
39998.623951,191541192
39998.623975,183607656
39998.623998,175910200
39998.624021,168155880
39998.624044,192979552
39998.624067,185175280
39998.624090,178696792
39998.624113,171124032
39998.624137,196029864
39998.624160,188964400
39998.624183,181437280
39998.624206,174112040
39998.624229,166225040
39998.624252,191476704
39998.624276,183894664
39998.624299,176460456
39998.624322,169788120
39998.624345,194733640
39998.624368,187250728
39998.624391,180384848
39998.624414,172759024
39998.624438,166957824
39998.624461,191807536
39998.624484,184138552
39998.624507,176398736
