Time,CPU Usage
39998.619068,96.5
39998.619091,96.3
39998.619114,97.1
39998.619138,96.8
39998.619161,96.5
39998.619184,96.5
39998.619206,95.8
39998.619230,96.5
39998.619253,97.0
39998.619276,96.4
39998.619300,96.5
39998.619323,97.4
39998.619346,96.5
39998.619369,96.5
39998.619392,97.1
39998.619415,96.5
39998.619438,96.8
39998.619462,96.9
39998.619485,96.2
39998.619508,96.6
39998.619531,96.3
39998.619555,95.7
39998.619577,96.4
39998.619600,96.6
39998.619624,96.9
39998.619646,96.8
39998.619670,96.4
39998.619693,96.5
39998.619716,97.2
39998.619739,96.8
39998.619762,96.9
39998.619785,96.9
39998.619809,96.1
39998.619832,96.5
39998.619855,96.7
39998.619879,97.0
39998.619901,95.4
39998.619924,97.0
39998.619948,96.1
39998.619971,97.8
39998.619994,96.3
39998.620017,96.0
39998.620040,96.9
39998.620063,96.4
39998.620086,96.8
39998.620109,96.8
39998.620133,96.9
39998.620156,95.4
39998.620179,96.5
39998.620202,96.0
39998.620225,96.2
39998.620248,96.0
39998.620272,94.6
39998.620295,96.8
39998.620318,96.8
39998.620342,97.4
39998.620364,96.1
39998.620388,96.1
39998.620411,96.5
39998.620434,96.5
39998.620457,97.7
39998.620480,96.0
39998.620503,96.8
39998.620526,97.8
39998.620549,96.0
39998.620572,94.0
39998.620595,92.3
39998.620619,90.2
39998.620642,90.7
39998.620665,87.8
39998.620688,87.3
39998.620712,86.9
39998.620734,87.3
39998.620758,93.5
39998.620780,87.8
39998.620803,87.0
39998.620827,87.2
39998.620850,93.6
39998.620873,89.5
39998.620896,86.9
39998.620920,91.4
39998.620942,91.5
39998.620990,63.2
39998.621012,0.0
39998.621035,0.3
39998.621058,0.0
39998.621081,0.3
39998.621104,0.3
39998.621141,55.6
39998.621151,77.2
39998.621174,83.0
39998.621197,83.0
39998.621220,82.6
39998.621243,83.1
39998.621266,82.5
39998.621290,82.3
39998.621313,82.0
39998.621336,82.6
39998.621359,82.5
39998.621382,82.8
39998.621405,82.6
39998.621428,82.2
39998.621452,82.5
39998.621475,82.3
39998.621498,82.8
39998.621521,82.7
39998.621544,82.1
39998.621567,82.5
39998.621590,82.7
39998.621614,82.9
39998.621637,72.4
39998.621660,81.2
39998.621683,82.7
39998.621706,82.5
39998.621729,82.8
39998.621752,82.5
39998.621776,82.4
39998.621799,82.5
39998.621822,82.8
39998.621845,82.3
39998.621868,82.5
39998.621891,82.5
39998.621915,82.4
39998.621938,82.6
39998.621961,82.6
39998.621984,82.7
39998.622007,81.6
39998.622030,82.5
39998.622053,82.5
39998.622077,82.5
39998.622100,82.5
39998.622123,82.2
39998.622146,82.5
39998.622169,82.5
39998.622192,82.7
39998.622215,82.3
39998.622239,82.3
39998.622262,82.7
39998.622285,82.7
39998.622308,82.5
39998.622331,82.4
39998.622354,81.8
39998.622377,82.4
39998.622401,83.0
39998.622424,82.7
39998.622447,82.2
39998.622470,82.8
39998.622493,82.8
39998.622516,82.6
39998.622540,82.6
39998.622563,82.3
39998.622586,82.4
39998.622609,82.8
39998.622632,82.5
39998.622655,82.3
39998.622678,82.9
39998.622702,81.3
39998.622725,82.5
39998.622748,82.9
39998.622771,82.3
39998.622794,82.5
39998.622817,82.6
39998.622840,82.8
39998.622864,82.3
39998.622887,82.7
39998.622910,82.3
39998.622933,81.7
39998.622956,82.8
39998.622979,82.2
39998.623002,83.0
39998.623026,82.5
39998.623049,81.4
39998.623072,82.5
39998.623095,82.5
39998.623118,82.8
39998.623141,82.4
39998.623165,82.4
39998.623188,82.6
39998.623211,82.5
39998.623234,82.5
39998.623257,82.5
39998.623280,82.4
39998.623304,82.4
39998.623327,82.6
39998.623350,82.9
39998.623373,82.5
39998.623396,81.8
39998.623419,82.7
39998.623442,82.7
39998.623465,82.4
39998.623489,82.7
39998.623512,82.3
39998.623535,82.3
39998.623558,82.8
39998.623581,82.4
39998.623604,82.5
39998.623628,82.2
39998.623651,82.5
39998.623674,82.5
39998.623697,82.8
39998.623720,82.5
39998.623743,81.4
39998.623766,82.5
39998.623790,82.8
39998.623813,82.5
39998.623836,82.5
39998.623859,82.3
39998.623882,82.6
39998.623905,82.4
39998.623928,82.7
39998.623952,82.5
39998.623975,82.6
39998.623998,82.7
39998.624021,82.8
39998.624044,82.5
39998.624067,82.4
39998.624090,81.4
39998.624114,82.6
39998.624137,82.6
39998.624160,82.0
39998.624183,82.5
39998.624206,82.3
39998.624229,82.5
39998.624253,82.5
39998.624276,82.1
39998.624299,82.5
39998.624322,82.0
39998.624345,82.5
39998.624368,82.7
39998.624391,81.8
39998.624415,82.4
39998.624438,81.3
39998.624461,82.4
39998.624484,82.7
39998.624507,82.7
39998.624530,82.3
39998.624553,82.5
39998.624577,82.6
39998.624600,82.4
39998.624623,82.4
39998.624646,82.8
39998.624669,82.8
39998.624692,82.2
39998.624715,82.5
39998.624739,82.6
39998.624762,82.7
39998.624785,81.5
39998.624808,82.4
39998.624831,82.5
39998.624854,82.0
39998.624878,82.7
39998.624901,82.5
39998.624924,82.7
39998.624947,82.4
39998.624970,82.8
39998.624993,82.1
39998.625016,82.7
39998.625040,82.2
39998.625063,83.0
39998.625086,82.5
39998.625109,82.9
39998.625132,81.1
39998.625155,82.7
39998.625178,82.6
39998.625202,82.7
39998.625225,82.5
39998.625248,82.2
39998.625271,82.8
39998.625294,82.8
39998.625317,82.4
39998.625340,82.6
39998.625364,82.3
39998.625387,82.8
39998.625410,82.6
39998.625433,82.8
39998.625456,82.5
39998.625479,82.5
39998.625503,81.7
39998.625526,82.6
39998.625549,82.9
39998.625572,82.7
39998.625595,82.3
39998.625618,82.9
39998.625641,82.8
39998.625665,82.8
39998.625688,82.1
39998.625711,82.4
39998.625734,82.9
39998.625757,82.5
39998.625780,82.9
39998.625803,82.5
39998.625827,82.7
39998.625850,81.8
